,frame,color,hex
156,156,"(144, 181, 208)",#90b5d0
172,157,"(40, 44, 41)",#282c29
779,158,"(40, 45, 41)",#282d29
765,159,"(40, 45, 41)",#282d29
926,160,"(40, 45, 41)",#282d29
940,161,"(40, 45, 41)",#282d29
889,162,"(48, 52, 49)",#303431
872,163,"(48, 52, 49)",#303431
782,164,"(48, 52, 49)",#303431
762,165,"(40, 45, 41)",#282d29
813,166,"(40, 45, 41)",#282d29
837,167,"(40, 45, 41)",#282d29
245,168,"(48, 52, 49)",#303431
219,169,"(40, 45, 41)",#282d29
783,170,"(40, 45, 41)",#282d29
759,171,"(40, 45, 41)",#282d29
817,172,"(39, 33, 30)",#27211e
836,173,"(39, 33, 30)",#27211e
925,174,"(39, 33, 30)",#27211e
943,175,"(39, 33, 30)",#27211e
885,176,"(39, 33, 30)",#27211e
873,177,"(39, 33, 30)",#27211e
25,178,"(39, 33, 30)",#27211e
41,179,"(39, 33, 30)",#27211e
181,180,"(39, 33, 30)",#27211e
148,181,"(39, 33, 30)",#27211e
217,182,"(39, 33, 30)",#27211e
246,183,"(39, 33, 29)",#27211d
78,184,"(39, 33, 29)",#27211d
119,185,"(39, 33, 29)",#27211d
52,186,"(39, 33, 29)",#27211d
14,187,"(39, 33, 29)",#27211d
865,188,"(38, 33, 29)",#26211d
893,189,"(38, 33, 29)",#26211d
79,190,"(37, 41, 40)",#252928
118,191,"(37, 41, 39)",#252927
53,192,"(38, 41, 39)",#262927
12,193,"(38, 41, 39)",#262927
180,194,"(38, 41, 39)",#262927
149,195,"(38, 41, 40)",#262928
216,196,"(38, 41, 39)",#262927
248,197,"(39, 42, 40)",#272a28
840,198,"(39, 42, 39)",#272a27
810,199,"(40, 42, 39)",#282a27
902,200,"(40, 42, 39)",#282a27
858,201,"(41, 43, 39)",#292b27
908,202,"(41, 43, 39)",#292b27
958,203,"(42, 43, 39)",#2a2b27
802,204,"(42, 43, 39)",#2a2b27
848,205,"(42, 43, 39)",#2a2b27
798,206,"(42, 43, 39)",#2a2b27
746,207,"(42, 43, 39)",#2a2b27
134,208,"(43, 44, 39)",#2b2c27
195,209,"(43, 44, 39)",#2b2c27
801,210,"(43, 44, 39)",#2b2c27
851,211,"(43, 44, 39)",#2b2c27
795,212,"(53, 58, 58)",#353a3a
747,213,"(42, 46, 45)",#2a2e2d
903,214,"(53, 58, 58)",#353a3a
855,215,"(53, 58, 59)",#353a3b
911,216,"(53, 58, 59)",#353a3b
957,217,"(53, 58, 59)",#353a3b
125,218,"(53, 57, 58)",#35393a
72,219,"(53, 58, 57)",#353a39
138,220,"(55, 58, 58)",#373a3a
192,221,"(56, 60, 59)",#383c3b
260,222,"(65, 70, 70)",#414646
201,223,"(66, 71, 71)",#424747
126,224,"(68, 73, 73)",#444949
70,225,"(69, 74, 73)",#454a49
3,226,"(69, 74, 73)",#454a49
63,227,"(69, 74, 73)",#454a49
905,228,"(69, 74, 73)",#454a49
854,229,"(69, 74, 73)",#454a49
129,230,"(69, 74, 73)",#454a49
69,231,"(69, 74, 73)",#454a49
4,232,"(69, 74, 73)",#454a49
60,233,"(69, 74, 73)",#454a49
135,234,"(69, 74, 73)",#454a49
193,235,"(69, 74, 73)",#454a49
259,236,"(69, 74, 73)",#454a49
204,237,"(54, 51, 48)",#363330
804,238,"(54, 51, 49)",#363331
847,239,"(54, 50, 49)",#363231
457,240,"(54, 50, 49)",#363231
513,241,"(53, 50, 49)",#353231
446,242,"(53, 50, 49)",#353231
396,243,"(54, 50, 49)",#363231
325,244,"(54, 50, 49)",#363231
267,245,"(52, 48, 47)",#34302f
334,246,"(52, 48, 47)",#34302f
386,247,"(54, 50, 49)",#363231
744,248,"(54, 50, 49)",#363231
689,249,"(53, 50, 49)",#353231
324,250,"(54, 50, 49)",#363231
270,251,"(54, 50, 49)",#363231
331,252,"(54, 50, 49)",#363231
387,253,"(53, 50, 48)",#353230
458,254,"(53, 50, 49)",#353231
510,255,"(54, 50, 49)",#363231
449,256,"(27, 40, 26)",#1b281a
395,257,"(27, 40, 26)",#1b281a
521,258,"(27, 40, 26)",#1b281a
568,259,"(27, 40, 26)",#1b281a
743,260,"(27, 40, 26)",#1b281a
691,261,"(27, 40, 26)",#1b281a
635,262,"(27, 40, 26)",#1b281a
683,263,"(27, 41, 26)",#1b291a
517,264,"(27, 41, 26)",#1b291a
571,265,"(27, 41, 26)",#1b291a
627,266,"(27, 41, 26)",#1b291a
577,267,"(27, 41, 26)",#1b291a
455,268,"(27, 41, 26)",#1b291a
514,269,"(27, 41, 26)",#1b291a
520,270,"(27, 41, 26)",#1b291a
570,271,"(27, 41, 26)",#1b291a
628,272,"(27, 41, 26)",#1b291a
574,273,"(27, 41, 26)",#1b291a
740,274,"(27, 41, 26)",#1b291a
692,275,"(27, 41, 26)",#1b291a
634,276,"(27, 41, 26)",#1b291a
686,277,"(27, 41, 26)",#1b291a
322,278,"(27, 41, 26)",#1b291a
271,279,"(27, 41, 26)",#1b291a
392,280,"(27, 41, 26)",#1b291a
451,281,"(30, 23, 19)",#1e1713
516,282,"(30, 23, 19)",#1e1713
453,283,"(30, 23, 19)",#1e1713
389,284,"(30, 23, 19)",#1e1713
330,285,"(30, 23, 19)",#1e1713
265,286,"(30, 23, 19)",#1e1713
328,287,"(29, 22, 18)",#1d1612
688,288,"(29, 22, 18)",#1d1612
631,289,"(29, 22, 17)",#1d1611
390,290,"(28, 21, 17)",#1c1511
329,291,"(28, 21, 16)",#1c1510
266,292,"(27, 21, 16)",#1b1510
327,293,"(27, 20, 16)",#1b1410
391,294,"(27, 20, 16)",#1b1410
452,295,"(27, 20, 16)",#1b1410
515,296,"(27, 20, 16)",#1b1410
454,297,"(27, 20, 16)",#1b1410
573,298,"(27, 20, 16)",#1b1410
630,299,"(27, 20, 16)",#1b1410
717,300,"(207, 207, 225)",#cfcfe1
715,301,"(27, 21, 16)",#1b1510
657,302,"(27, 21, 15)",#1b150f
663,303,"(202, 192, 212)",#cac0d4
543,304,"(24, 19, 14)",#18130e
547,305,"(24, 18, 13)",#18120d
605,306,"(48, 50, 45)",#30322d
597,307,"(48, 50, 45)",#30322d
480,308,"(48, 50, 45)",#30322d
489,309,"(48, 50, 45)",#30322d
540,310,"(48, 50, 45)",#30322d
548,311,"(48, 50, 45)",#30322d
604,312,"(48, 50, 45)",#30322d
600,313,"(48, 50, 45)",#30322d
720,314,"(48, 50, 45)",#30322d
714,315,"(48, 50, 45)",#30322d
658,316,"(48, 50, 45)",#30322d
660,317,"(48, 50, 45)",#30322d
297,318,"(48, 50, 45)",#30322d
296,319,"(48, 50, 45)",#30322d
483,320,"(48, 50, 45)",#30322d
485,321,"(48, 50, 45)",#30322d
425,322,"(48, 50, 45)",#30322d
419,323,"(48, 50, 45)",#30322d
299,324,"(48, 50, 45)",#30322d
295,325,"(31, 32, 29)",#1f201d
355,326,"(31, 32, 29)",#1f201d
363,327,"(31, 32, 29)",#1f201d
721,328,"(31, 32, 29)",#1f201d
712,329,"(31, 31, 28)",#1f1f1c
300,330,"(30, 31, 28)",#1e1f1c
292,331,"(30, 31, 28)",#1e1f1c
358,332,"(31, 31, 29)",#1f1f1d
362,333,"(31, 31, 29)",#1f1f1d
482,334,"(31, 31, 29)",#1f1f1d
488,335,"(31, 32, 29)",#1f201d
422,336,"(31, 31, 29)",#1f1f1d
420,337,"(31, 31, 29)",#1f1f1d
544,338,"(31, 32, 29)",#1f201d
545,339,"(31, 32, 29)",#1f201d
161,340,"(31, 31, 29)",#1f1f1d
167,341,"(30, 31, 29)",#1e1f1d
233,342,"(30, 31, 29)",#1e1f1d
231,343,"(30, 31, 29)",#1e1f1d
103,344,"(30, 31, 29)",#1e1f1d
95,345,"(30, 31, 29)",#1e1f1d
30,346,"(30, 32, 29)",#1e201d
34,347,"(31, 32, 30)",#1f201e
884,348,"(31, 32, 30)",#1f201e
875,349,"(31, 32, 30)",#1f201e
100,350,"(103, 99, 88)",#676358
96,351,"(103, 99, 88)",#676358
29,352,"(103, 99, 88)",#676358
37,353,"(103, 99, 88)",#676358
164,354,"(103, 99, 88)",#676358
166,355,"(103, 99, 88)",#676358
234,356,"(103, 99, 88)",#676358
228,357,"(103, 99, 88)",#676358
825,358,"(103, 99, 88)",#676358
826,359,"(103, 99, 88)",#676358
882,360,"(103, 99, 88)",#676358
876,361,"(104, 99, 88)",#686358
933,362,"(103, 99, 88)",#676358
935,363,"(103, 99, 88)",#676358
822,364,"(103, 99, 88)",#676358
830,365,"(103, 99, 88)",#676358
773,366,"(103, 99, 88)",#676358
769,367,"(103, 99, 88)",#676358
160,368,"(103, 99, 88)",#676358
169,369,"(103, 99, 88)",#676358
823,370,"(103, 99, 88)",#676358
827,371,"(103, 99, 88)",#676358
776,372,"(103, 99, 88)",#676358
768,373,"(103, 99, 88)",#676358
881,374,"(103, 99, 88)",#676358
879,375,"(103, 99, 88)",#676358
930,376,"(103, 99, 88)",#676358
936,377,"(103, 99, 88)",#676358
99,378,"(103, 99, 88)",#676358
98,379,"(66, 56, 46)",#42382e
226,380,"(66, 56, 46)",#42382e
237,381,"(66, 56, 46)",#42382e
171,382,"(66, 56, 46)",#42382e
158,383,"(66, 56, 46)",#42382e
38,384,"(66, 56, 47)",#42382f
27,385,"(66, 56, 46)",#42382e
92,386,"(66, 56, 47)",#42382f
105,387,"(66, 56, 46)",#42382e
939,388,"(66, 56, 47)",#42382f
928,389,"(66, 56, 46)",#42382e
39,390,"(67, 56, 47)",#43382f
26,391,"(66, 56, 47)",#42382f
93,392,"(66, 56, 46)",#42382e
104,393,"(67, 56, 47)",#43382f
225,394,"(66, 56, 47)",#42382f
238,395,"(67, 56, 47)",#43382f
170,396,"(67, 56, 47)",#43382f
159,397,"(67, 56, 47)",#43382f
766,398,"(67, 56, 47)",#43382f
777,399,"(67, 56, 47)",#43382f
774,400,"(67, 56, 47)",#43382f
770,401,"(67, 56, 47)",#43382f
821,402,"(67, 56, 47)",#43382f
829,403,"(67, 56, 47)",#43382f
932,404,"(67, 56, 47)",#43382f
934,405,"(67, 56, 47)",#43382f
883,406,"(67, 56, 47)",#43382f
877,407,"(67, 56, 47)",#43382f
32,408,"(67, 56, 47)",#43382f
33,409,"(180, 158, 132)",#b49e84
931,410,"(180, 158, 133)",#b49e85
937,411,"(179, 158, 133)",#b39e85
880,412,"(179, 157, 133)",#b39d85
878,413,"(179, 157, 133)",#b39d85
775,414,"(179, 157, 133)",#b39d85
767,415,"(179, 157, 133)",#b39d85
824,416,"(179, 157, 133)",#b39d85
828,417,"(179, 158, 133)",#b39e85
236,418,"(179, 158, 133)",#b39e85
227,419,"(179, 159, 133)",#b39f85
31,420,"(179, 158, 133)",#b39e85
35,421,"(179, 158, 132)",#b39e84
102,422,"(179, 158, 132)",#b39e84
94,423,"(179, 158, 132)",#b39e84
232,424,"(179, 158, 132)",#b39e84
230,425,"(178, 157, 132)",#b29d84
162,426,"(178, 157, 131)",#b29d83
168,427,"(27, 22, 16)",#1b1610
772,428,"(7, 7, 7)",#070707
771,429,"(7, 7, 7)",#070707
235,430,"(7, 7, 7)",#070707
229,431,"(7, 7, 7)",#070707
163,432,"(7, 7, 7)",#070707
165,433,"(7, 7, 7)",#070707
28,434,"(7, 8, 7)",#070807
36,435,"(7, 8, 7)",#070807
101,436,"(7, 8, 7)",#070807
97,437,"(7, 8, 7)",#070807
929,438,"(65, 55, 45)",#41372d
938,439,"(64, 55, 46)",#40372e
356,440,"(65, 56, 47)",#41382f
364,441,"(65, 56, 47)",#41382f
298,442,"(65, 57, 48)",#413930
294,443,"(64, 56, 47)",#40382f
424,444,"(63, 56, 47)",#3f382f
418,445,"(63, 56, 47)",#3f382f
484,446,"(63, 56, 47)",#3f382f
486,447,"(52, 45, 38)",#342d26
602,448,"(52, 45, 38)",#342d26
601,449,"(52, 45, 38)",#342d26
423,450,"(52, 45, 38)",#342d26
421,451,"(52, 45, 38)",#342d26
481,452,"(52, 45, 38)",#342d26
487,453,"(32, 37, 33)",#202521
357,454,"(32, 38, 34)",#202622
361,455,"(32, 38, 34)",#202622
301,456,"(32, 38, 34)",#202622
293,457,"(32, 38, 34)",#202622
655,458,"(32, 38, 34)",#202622
664,459,"(32, 39, 35)",#202723
606,460,"(32, 39, 35)",#202723
