,frame,color,hex
109,151,"(93, 99, 51)",#5d6333
267,152,"(94, 100, 53)",#5e6435
204,153,"(64, 71, 76)",#40474c
579,154,"(64, 71, 76)",#40474c
524,155,"(64, 71, 76)",#40474c
368,156,"(64, 71, 76)",#40474c
417,157,"(64, 71, 76)",#40474c
1896,158,"(64, 71, 76)",#40474c
1855,159,"(64, 71, 76)",#40474c
2296,160,"(64, 71, 76)",#40474c
2339,161,"(65, 71, 76)",#41474c
2198,162,"(65, 71, 76)",#41474c
2147,163,"(65, 71, 76)",#41474c
1903,164,"(65, 71, 77)",#41474d
1848,165,"(65, 71, 77)",#41474d
1989,166,"(65, 71, 77)",#41474d
2054,167,"(65, 71, 77)",#41474d
585,168,"(65, 71, 77)",#41474d
518,169,"(65, 71, 77)",#41474d
1904,170,"(65, 71, 77)",#41474d
1843,171,"(65, 71, 76)",#41474c
1998,172,"(65, 71, 76)",#41474c
2051,173,"(65, 71, 76)",#41474c
2295,174,"(65, 71, 76)",#41474c
2344,175,"(65, 71, 76)",#41474c
2189,176,"(91, 96, 99)",#5b6063
2150,177,"(65, 71, 76)",#41474c
55,178,"(91, 96, 99)",#5b6063
100,179,"(65, 71, 76)",#41474c
433,180,"(176, 168, 161)",#b0a8a1
354,181,"(176, 168, 161)",#b0a8a1
515,182,"(176, 168, 161)",#b0a8a1
586,183,"(177, 168, 161)",#b1a8a1
188,184,"(177, 169, 161)",#b1a9a1
279,185,"(177, 169, 161)",#b1a9a1
120,186,"(177, 169, 161)",#b1a9a1
34,187,"(177, 169, 161)",#b1a9a1
2133,188,"(178, 169, 161)",#b2a9a1
2207,189,"(178, 170, 162)",#b2aaa2
189,190,"(178, 170, 162)",#b2aaa2
278,191,"(178, 170, 162)",#b2aaa2
121,192,"(179, 170, 162)",#b3aaa2
32,193,"(179, 170, 162)",#b3aaa2
432,194,"(179, 170, 163)",#b3aaa3
355,195,"(179, 171, 163)",#b3aba3
514,196,"(179, 171, 163)",#b3aba3
588,197,"(179, 171, 163)",#b3aba3
2058,198,"(180, 171, 163)",#b4aba3
1986,199,"(180, 171, 164)",#b4aba4
2230,200,"(180, 172, 164)",#b4aca4
2113,201,"(180, 172, 164)",#b4aca4
2253,202,"(180, 172, 164)",#b4aca4
2381,203,"(180, 172, 164)",#b4aca4
1959,204,"(181, 172, 164)",#b5aca4
2084,205,"(181, 172, 164)",#b5aca4
1944,206,"(80, 68, 61)",#50443d
1807,207,"(79, 66, 60)",#4f423c
319,208,"(77, 66, 59)",#4d423b
467,209,"(78, 66, 60)",#4e423c
1958,210,"(79, 67, 61)",#4f433d
2089,211,"(84, 71, 64)",#544740
1936,212,"(85, 72, 65)",#554841
1810,213,"(80, 70, 63)",#50463f
2231,214,"(80, 70, 64)",#504640
2108,215,"(85, 73, 66)",#554942
2261,216,"(85, 73, 66)",#554942
2378,217,"(85, 73, 66)",#554942
297,218,"(85, 73, 66)",#554942
169,219,"(84, 73, 67)",#544943
330,220,"(84, 73, 67)",#544943
459,221,"(84, 73, 67)",#544943
614,222,"(84, 73, 66)",#544942
484,223,"(84, 73, 66)",#544942
301,224,"(84, 73, 66)",#544942
164,225,"(84, 73, 66)",#544942
8,226,"(84, 73, 66)",#544942
147,227,"(84, 73, 66)",#544942
2237,228,"(84, 73, 66)",#544942
2103,229,"(83, 72, 66)",#534842
308,230,"(83, 72, 66)",#534842
161,231,"(83, 72, 66)",#534842
9,232,"(36, 28, 26)",#241c1a
141,233,"(36, 28, 26)",#241c1a
323,234,"(36, 28, 26)",#241c1a
462,235,"(37, 28, 26)",#251c1a
613,236,"(37, 28, 26)",#251c1a
490,237,"(37, 28, 26)",#251c1a
1965,238,"(37, 28, 26)",#251c1a
